DataSet,Num Features,Gene List,Model,Precision,Recall,Accuracy,F1,AUROC
Proteomics,20,multiomic Var,LR,0.6666666666666666,0.6285714285714286,0.6571428571428571,0.6470588235294118,0.6018367346938776
Proteomics,20,multiomic Var,KNN,0.6617647058823529,0.6428571428571429,0.6571428571428571,0.6521739130434783,0.7007142857142856
Proteomics,20,multiomic Var,RF,0.6333333333333333,0.5428571428571428,0.6142857142857143,0.5846153846153846,0.7167346938775511
Proteomics,20,multiomic Var,NB,0.5757575757575758,0.5428571428571428,0.5714285714285714,0.5588235294117646,0.5514285714285714
Multiomics,131,Cell Growth,LR,0.5945945945945946,0.6285714285714286,0.6,0.611111111111111,0.6730612244897959
Multiomics,131,Cell Growth,KNN,0.6142857142857143,0.6142857142857143,0.6142857142857143,0.6142857142857143,0.6590816326530612
Multiomics,131,Cell Growth,RF,0.8518518518518519,0.6571428571428571,0.7714285714285715,0.7419354838709677,0.8465306122448979
Multiomics,131,Cell Growth,NB,0.6333333333333333,0.5428571428571428,0.6142857142857143,0.5846153846153846,0.6288775510204082
mRNA,63,Cell Growth,LR,0.5857142857142857,0.5857142857142857,0.5857142857142857,0.5857142857142857,0.6206122448979591
mRNA,63,Cell Growth,KNN,0.582089552238806,0.5571428571428572,0.5785714285714286,0.5693430656934307,0.6114285714285714
mRNA,63,Cell Growth,RF,0.6923076923076923,0.5142857142857142,0.6428571428571429,0.5901639344262295,0.7304081632653061
mRNA,63,Cell Growth,NB,0.5915492957746479,0.6,0.5928571428571429,0.5957446808510638,0.6279591836734695
Methylation,63,Cell Growth,LR,0.6891891891891891,0.7285714285714285,0.7,0.7083333333333334,0.7281632653061224
Methylation,63,Cell Growth,KNN,0.7361111111111112,0.7571428571428571,0.7428571428571429,0.7464788732394366,0.7691836734693878
Methylation,63,Cell Growth,RF,0.75,0.6428571428571429,0.7142857142857143,0.6923076923076924,0.7886734693877552
Methylation,63,Cell Growth,NB,0.5636363636363636,0.44285714285714284,0.55,0.49599999999999994,0.6262244897959184
Proteomics,5,Cell Growth,LR,0.5671641791044776,0.5428571428571428,0.5642857142857143,0.5547445255474451,0.5277551020408163
Proteomics,5,Cell Growth,KNN,0.6133333333333333,0.6571428571428571,0.6214285714285714,0.6344827586206896,0.6590816326530613
Proteomics,5,Cell Growth,RF,0.6491228070175439,0.5285714285714286,0.6214285714285714,0.5826771653543307,0.6921428571428572
Proteomics,5,Cell Growth,NB,0.48,0.5142857142857142,0.4785714285714286,0.496551724137931,0.41081632653061223
Multiomics,132,Cell Death,LR,0.7638888888888888,0.7857142857142857,0.7714285714285715,0.7746478873239437,0.806734693877551
Multiomics,132,Cell Death,KNN,0.6935483870967742,0.6142857142857143,0.6714285714285714,0.6515151515151515,0.6857142857142857
Multiomics,132,Cell Death,RF,0.8166666666666667,0.7,0.7714285714285715,0.7538461538461538,0.8591836734693878
Multiomics,132,Cell Death,NB,0.6307692307692307,0.5857142857142857,0.6214285714285714,0.6074074074074074,0.6881632653061224
mRNA,64,Cell Death,LR,0.6470588235294118,0.6285714285714286,0.6428571428571429,0.6376811594202899,0.6453061224489796
