Dataset,Gene List,Model,FPR,TPR,Thresholds
mRNA,mRNA Var,LR,0.38571428571428573,0.7714285714285715,0.43899788774931614
mRNA,mRNA Var,LR,0.38571428571428573,0.7857142857142857,0.43629883692463606
mRNA,mRNA Var,LR,0.44285714285714284,0.7857142857142857,0.4286832231821352
mRNA,mRNA Var,LR,0.44285714285714284,0.8142857142857143,0.4240064605156466
mRNA,mRNA Var,LR,0.5,0.8142857142857143,0.41425141235906204
mRNA,mRNA Var,LR,0.5,0.8285714285714286,0.4113990005445275
mRNA,mRNA Var,LR,0.5285714285714286,0.8285714285714286,0.4055656664179128
mRNA,mRNA Var,LR,0.5285714285714286,0.8428571428571429,0.4001414635951553
mRNA,mRNA Var,LR,0.5428571428571428,0.8428571428571429,0.3955697869488452
mRNA,mRNA Var,LR,0.5428571428571428,0.8571428571428571,0.39516274238564786
mRNA,mRNA Var,LR,0.5571428571428572,0.8571428571428571,0.39468349336672576
mRNA,mRNA Var,LR,0.5571428571428572,0.8714285714285714,0.389053579980295
mRNA,mRNA Var,LR,0.5714285714285714,0.8714285714285714,0.36836189799277735
mRNA,mRNA Var,LR,0.5714285714285714,0.8857142857142857,0.36256089202826025
mRNA,mRNA Var,LR,0.6,0.8857142857142857,0.35867439988361244
mRNA,mRNA Var,LR,0.6,0.9142857142857143,0.35748644302659033
mRNA,mRNA Var,LR,0.7571428571428571,0.9142857142857143,0.33109114076453955
mRNA,mRNA Var,LR,0.7571428571428571,0.9285714285714286,0.33089160821947805
mRNA,mRNA Var,LR,0.8714285714285714,0.9285714285714286,0.2612591551360176
mRNA,mRNA Var,LR,0.8714285714285714,0.9571428571428572,0.25420501864199063
mRNA,mRNA Var,LR,0.9571428571428572,0.9571428571428572,0.242848971931059
mRNA,mRNA Var,LR,0.9571428571428572,0.9714285714285714,0.2250111057213036
mRNA,mRNA Var,LR,0.9857142857142858,0.9714285714285714,0.18490656915684583
mRNA,mRNA Var,LR,0.9857142857142858,1.0,0.17600592848040558
mRNA,mRNA Var,LR,1.0,1.0,0.10831418465312673
mRNA,mRNA Var,KNN,0.0,0.0,2.0
mRNA,mRNA Var,KNN,0.014285714285714285,0.05714285714285714,1.0
mRNA,mRNA Var,KNN,0.15714285714285714,0.2571428571428571,0.8
mRNA,mRNA Var,KNN,0.4714285714285714,0.6428571428571429,0.6
