Severity,LR,KNN,RF,NB
0,0.2923008943970528,0.4,0.2,0.001179437241656577
0,0.45763039741196443,0.0,0.0,0.6482092248516477
1,0.5320148294467799,1.0,1.0,0.7996889664117309
0,0.3264397854729073,0.6,0.2,0.052948221483825914
0,0.45763039741196443,0.0,0.0,0.6482092248516477
0,0.45763039741196443,0.0,0.0,0.6482092248516477
1,0.5320148294467799,1.0,1.0,0.7996889664117309
0,0.45763039741196443,0.0,0.0,0.6482092248516477
0,0.45763039741196443,0.0,0.0,0.6482092248516477
1,0.5320148294467799,1.0,1.0,0.7996889664117309
0,0.4625706006178953,0.0,0.0,0.7588816214545171
0,0.4625706006178953,0.0,0.0,0.7588816214545171
0,0.4625706006178953,0.0,0.0,0.7588816214545171
0,0.3087195820581812,0.2,0.1,0.06833953406870517
1,0.4342075849923482,0.4,0.3,0.07371904698408824
1,0.286305635949928,0.2,0.1,0.040185361759900784
1,0.5937778669785151,0.2,0.5,0.8586053232370278
1,0.45738043236242865,0.4,0.7,0.002488579832099045
0,0.5034803063911678,0.4,0.4,0.7777593307576218
1,0.5739791856566834,0.6,0.3,0.5533998842045815
0,0.584416785105818,1.0,0.5,0.8537081048618322
1,0.38544988668588237,0.4,0.2,3.506831596350191e-07
1,0.5381464164175706,0.4,0.3,0.3831906549190532
1,0.48198386020207806,0.4,0.4,0.001785548186746221
1,0.4183826452454858,0.6,0.3,0.6247657511314197
1,0.5346683702573062,1.0,1.0,0.8665667360289063
1,0.5346683702573062,1.0,1.0,0.8665667360289063
1,0.536179962528997,1.0,1.0,0.7029141760691509
1,0.536179962528997,1.0,1.0,0.7029141760691509
1,0.4389335171594612,0.4,0.6,0.4475211950130776
0,0.5796662322118754,0.4,0.2,0.675909507765316
1,0.44135390165047517,0.6,0.1,0.6567866459651731
0,0.53089655282205,0.6,0.6,0.2511923344726134
0,0.3400058917601701,0.2,0.1,0.052353138484726294
0,0.39321143766942945,0.6,0.5,0.2942167367470339
0,0.4591154516026747,0.0,0.0,0.4992282249598937
0,0.483442785857474,0.2,0.5,0.3726185019283354
0,0.4506455711920083,0.6,0.7,0.44756973487829477
0,0.6146041228729141,0.4,0.6,0.7519424550580616
1,0.6038671926963969,0.8,0.8,0.7566847950737635
0,0.6057670273327328,0.4,0.2,0.3343987926600118
0,0.37528491007287146,0.0,0.2,0.16200957723905443
1,0.3062951535000209,0.4,0.7,0.07128977035933744
0,0.38287868680721243,0.4,0.0,0.30678291731260726
0,0.40066763199862837,0.4,0.8,0.2171757775650622
1,0.536179962528997,1.0,1.0,0.7029141760691509
0,0.37176132148691793,0.2,0.4,0.30357537403824014
0,0.45829156502747237,0.4,0.1,0.12365868211450054
0,0.4609164177497096,0.0,0.0,0.5442092253503539
0,0.2819644092985322,0.2,0.3,0.45028358926131445
0,0.6555032296051218,0.8,0.6,0.5964283881090892
0,0.48494414393295804,0.4,0.4,0.6348445827966889
0,0.5932644912080278,0.8,0.8,0.6081366830316377
0,0.3081507715907262,0.2,0.3,0.1314095974760225
1,0.5142624694436927,0.4,0.0,0.2364701835564994
0,0.5606463292820708,1.0,0.7,0.6470315426077569
0,0.3205067253372288,0.0,0.2,0.13532224217229402
0,0.36042134499873474,0.2,0.4,0.15208675892567897
0,0.45453858754364246,0.4,0.4,0.4516427179556564
0,0.5968928490129137,0.8,0.5,0.7769498638647132
0,0.4965947160692264,0.6,0.4,0.5420232894787539
0,0.5653810648150057,0.6,0.8,0.7446344426063203
0,0.5265307509591952,0.4,0.4,0.530225330183295
0,0.5646628820373983,0.6,0.6,0.8358665682198291
0,0.5193324141855896,0.8,0.4,0.7160009454863168
0,0.4159380007453075,0.4,0.2,0.36651212463506144
0,0.664815346732435,0.6,0.9,0.8776002412809334
0,0.5142950460169097,0.4,0.2,0.550242620175583
0,0.46218813000643816,0.0,0.0,0.6227838200581918
0,0.46218813000643816,0.0,0.0,0.6227838200581918
1,0.5333078085695874,1.0,1.0,0.722167096716811
1,0.5333078085695874,1.0,1.0,0.722167096716811
1,0.5333078085695874,1.0,1.0,0.722167096716811
0,0.46218813000643816,0.0,0.0,0.6227838200581918
1,0.5680530009037978,1.0,0.4,0.6940425712578487
0,0.4705241053406221,0.0,0.0,0.6893853594277003
0,0.4705241053406221,0.0,0.0,0.6893853594277003
0,0.4059397000546475,0.2,0.6,0.4076537875727782
0,0.3835260273218775,0.2,0.0,0.23790601912090592
0,0.3813162865437186,0.4,0.5,0.03635944522420732
0,0.6150731651720028,0.6,0.4,0.011764948269211204
0,0.3661150162284724,0.2,0.1,0.14816125579374836
