Severity,LR,KNN,RF,NB
0,0.4135260099702927,0.2,0.4,0.05548925116631782
0,0.4709744929509249,0.0,0.0,0.4837415675814295
1,0.5221563033087725,1.0,1.0,0.5872552153916984
0,0.3494602584549485,0.2,0.0,0.10265497615367722
0,0.4709744929509249,0.0,0.0,0.4837415675814295
0,0.4709744929509249,0.0,0.0,0.4837415675814295
1,0.5221563033087725,1.0,1.0,0.5872552153916984
0,0.4709744929509249,0.0,0.0,0.4837415675814295
0,0.4709744929509249,0.0,0.0,0.4837415675814295
1,0.5221563033087725,1.0,1.0,0.5872552153916984
0,0.47595773336280356,0.0,0.0,0.5680430847122026
0,0.47595773336280356,0.0,0.0,0.5680430847122026
0,0.47595773336280356,0.0,0.0,0.5680430847122026
0,0.3983120744594748,0.0,0.3,0.3494767082475895
1,0.4578847013220176,0.2,0.1,0.4882246764703552
1,0.3470976753709788,0.2,0.1,0.0744404700004339
1,0.6219821119652198,0.6,0.6,0.7489151590289546
1,0.40658081487403874,0.2,0.5,0.0850899839534213
0,0.48828119917891233,0.4,0.2,0.5887105874443809
1,0.6242976582594162,0.2,0.3,0.6389459922105378
0,0.5868252426740663,0.6,0.6,0.699556416320135
1,0.39020121773388367,0.2,0.3,0.0014444679720049417
1,0.6037239496948102,0.8,0.8,0.7672945109232241
1,0.4472001368352083,0.2,0.3,0.0025500497300861933
1,0.49331511393267713,0.4,0.3,0.6075916977313432
1,0.5245896350198938,1.0,1.0,0.6605876292339599
1,0.5245896350198938,1.0,1.0,0.6605876292339599
1,0.5237897555057082,1.0,1.0,0.5739601974203707
1,0.5237897555057082,1.0,1.0,0.5739601974203707
1,0.4490678187404544,0.4,0.3,0.4375283529205226
0,0.5351160561761918,0.4,0.2,0.5153896580225046
1,0.46889669148994545,0.6,0.4,0.6773828164679004
0,0.5155376269845239,0.6,0.4,0.397246122568715
0,0.4257389622980902,0.2,0.4,0.3521687268492166
0,0.42066438946287704,0.6,0.5,0.32707755786801074
0,0.4707652386457127,0.0,0.0,0.45107632787497004
0,0.44057753064796684,0.4,0.1,0.325912054362556
0,0.48953882106541713,0.4,0.4,0.6496176163680465
0,0.48871047329997974,0.4,0.2,0.501423628427084
1,0.539797879453829,0.8,0.6,0.664202267250838
0,0.6759632101620952,0.4,0.5,0.815987235146624
0,0.41563674997773187,0.2,0.2,0.27692818682025994
1,0.332086636830068,0.4,0.6,0.11569552888455777
0,0.4238131638423144,0.4,0.2,0.5045881060369242
0,0.345349657295594,0.4,0.2,0.14564319538851891
1,0.5237897555057082,1.0,1.0,0.5739601974203707
0,0.3531850079448542,0.8,0.8,0.2994841569452577
0,0.48833420625495955,0.6,0.6,0.4851317333525369
0,0.47332330689857893,0.0,0.0,0.4149270498449962
0,0.375003808408306,0.0,0.1,0.2297569283676052
0,0.5953813086739943,0.4,0.5,0.6862329223354039
0,0.5103076139690862,0.6,0.3,0.5069932269824804
0,0.5570221943410353,0.8,0.6,0.5633951429182666
0,0.3533182113865958,0.0,0.2,0.23175563783535652
1,0.5139421485490121,0.8,0.3,0.5427055500157394
0,0.5063551031219883,0.8,0.8,0.558326858424072
0,0.411888487598533,0.6,0.3,0.43585455398552647
0,0.43547830126440756,0.4,0.6,0.3580766809589158
0,0.46856524464999766,0.6,0.5,0.5642319096828957
0,0.5985617708040487,0.8,0.9,0.7073801461575976
0,0.45346265658585805,0.2,0.6,0.44572413982515213
0,0.5694220058464438,0.8,0.8,0.7656181189181966
0,0.5738245920807168,1.0,0.7,0.656605368708317
0,0.5512475093039134,0.8,0.4,0.7412112139394416
0,0.5259123175308266,0.6,0.7,0.5959388589312755
0,0.3995215753134765,0.4,0.0,0.23474486265723746
0,0.6716222007989034,1.0,0.8,0.8278089640576656
0,0.5102787494355634,0.6,0.0,0.5327712795769969
0,0.47281388206082137,0.0,0.0,0.46470694625458586
0,0.47281388206082137,0.0,0.0,0.46470694625458586
1,0.522932945979032,1.0,1.0,0.5163282837874462
1,0.522932945979032,1.0,1.0,0.5163282837874462
1,0.522932945979032,1.0,1.0,0.5163282837874462
0,0.47281388206082137,0.0,0.0,0.46470694625458586
1,0.5674202490446141,0.6,0.7,0.6322100993444562
0,0.4802775476181443,0.0,0.0,0.5791258257691407
0,0.4802775476181443,0.0,0.0,0.5791258257691407
0,0.43921557452155385,0.0,0.5,0.4664469269806191
0,0.38339936034171074,0.4,0.2,0.20086427518874517
0,0.4583837786700533,0.6,0.1,0.3312939049082927
0,0.4333040293964687,0.2,0.2,0.38066700709666257
0,0.44285541256249084,0.2,0.7,0.4255434139926523
0,0.40638691064488475,0.2,0.0,0.32575108868598307
1,0.48262483396613487,0.6,0.8,0.40010976495963607
0,0.5006299576060101,0.4,0.9,0.6774009261636267
1,0.41852024244607094,0.2,0.7,0.23802175219547425
0,0.5409919526166201,1.0,0.4,0.6544233665600273
0,0.3582358615437939,0.4,0.2,0.17123626632144734
1,0.5693847056133176,0.8,0.5,0.6060408591211741
1,0.4649058917844253,0.4,0.5,0.40429609756168994
0,0.39306512244711334,0.0,0.3,0.3144487338333157
0,0.47761019877870664,0.0,0.0,0.500909982455688
1,0.5245521348936155,1.0,1.0,0.5416519335966916
1,0.5245521348936155,1.0,1.0,0.5416519335966916
1,0.5245521348936155,1.0,1.0,0.5416519335966916
1,0.5245521348936155,1.0,1.0,0.5416519335966916
1,0.5245521348936155,1.0,1.0,0.5416519335966916
1,0.5287536403794295,1.0,1.0,0.46788312999600845
1,0.5287536403794295,1.0,1.0,0.46788312999600845
1,0.5287536403794295,1.0,1.0,0.46788312999600845
1,0.5287536403794295,1.0,1.0,0.46788312999600845
1,0.5287536403794295,1.0,1.0,0.46788312999600845
1,0.4511089856524603,0.6,0.8,0.31111680119499335
1,0.46498622659814554,0.6,0.2,0.3693443636336039
1,0.39354849716283863,0.8,0.3,0.3030756360804977
1,0.5478882453557534,0.8,0.4,0.6334734775010853
1,0.42994396790571926,0.0,0.3,0.35613797576905715
1,0.5237062402964023,0.8,0.1,0.5551861245644035
1,0.5627752423369634,0.8,0.8,0.6901010938499328
1,0.5353794440617726,0.4,0.5,0.7300727598576738
1,0.48329305660890887,0.4,0.6,0.46732812161746634
