Severity,LR,KNN,RF,NB
0,0.4248262888100502,0.8,0.3,0.00243381536004827
0,0.5556934629405124,0.4,0.0,0.7654693650445147
1,0.593465211531977,0.8,0.9,0.9975085664946908
0,0.21134498801940735,0.4,0.2,0.0017140302250069016
0,0.5527480892487201,0.6,0.0,0.9973093054982808
0,0.3683161038536839,0.4,0.0,0.0424138381621145
1,0.6074428854081563,0.6,0.9,0.8816662188746928
0,0.45165711069791686,0.4,0.1,0.6983019740105426
0,0.32799959805181633,0.4,0.0,0.01913927257483096
1,0.4290457657870607,0.6,0.8,0.6421118221513595
0,0.4417451439950997,0.8,0.1,0.7283450896963369
0,0.4396701767915487,0.4,0.0,0.8200430350074983
0,0.38259392632710665,0.4,0.0,0.7471756425699245
0,0.2446053872714045,0.4,0.1,0.002865866521763234
1,0.48471295559705296,0.8,0.5,0.1345828435717412
1,0.36174284137973195,0.4,0.0,0.3708532055677047
1,0.7216214754531951,1.0,1.0,0.9989485111314967
1,0.6114240332401515,0.8,0.4,0.015568429680518818
0,0.38613308108246563,0.4,0.1,0.46518362139317754
1,0.6016820230325816,1.0,0.8,0.9570759035915629
0,0.6005787323030568,0.6,0.4,0.5522075414053906
1,0.5127854978745787,0.4,0.7,0.005441260247277252
1,0.6433328799055308,1.0,0.6,0.9747988310747563
1,0.5324998072094255,0.4,0.6,0.007169280861938676
1,0.5702186734177722,0.6,0.3,0.9581134252228743
1,0.6581751841086341,1.0,0.9,0.9960371157545064
1,0.626957126731662,1.0,1.0,0.946489983518081
1,0.6779129787964481,1.0,1.0,0.9665768438881865
1,0.6376919837690003,1.0,1.0,0.9805613002094099
1,0.5803810592445937,0.6,0.5,0.55325482749874
0,0.4538750528032661,0.4,0.3,0.5689822936699174
1,0.731612717602901,0.6,0.6,0.9978760073272117
0,0.7186546750070242,0.8,0.8,0.7430118116619634
0,0.316949875297064,0.2,0.5,0.00031404989230721325
0,0.28663942555990696,0.6,0.6,0.3464919264758468
0,0.364211105558335,0.6,0.0,0.3072823168760846
0,0.4142321544573109,0.4,0.4,0.1413726347380503
0,0.5107213024492595,0.6,0.4,0.8534771257795806
0,0.6644243549165106,0.6,0.6,0.9149205403189622
1,0.6575805089740496,0.8,0.9,0.9529234782277033
0,0.7083992294080838,0.4,0.5,0.9572077684805954
0,0.42389084840371405,0.8,0.0,0.1490649189517325
1,0.4083822884798924,1.0,0.4,0.08387329543466425
0,0.315657957009116,0.2,0.2,0.02013770414880194
0,0.5077845154131203,1.0,0.6,0.9534782234011635
1,0.5947476480820095,0.4,1.0,0.8778569829330929
0,0.18734076231718105,0.6,0.5,0.05226062543402872
0,0.45816083244133926,0.6,0.2,0.030857054332632174
0,0.5273896089888979,0.6,0.1,0.381115166934567
0,0.2551243411359441,0.2,0.3,0.055118305846093694
0,0.45582941952372064,0.4,0.5,0.03014666840439189
0,0.4891905271409359,0.2,0.1,0.028207138967585935
0,0.659431351089875,0.8,0.7,0.6460727263340171
0,0.31727849006261477,0.2,0.3,0.1221257123836253
1,0.5466807335715232,0.4,0.3,0.19571995307627307
0,0.5636023243643399,1.0,0.8,0.7829323480842758
0,0.19178752941172478,0.2,0.3,0.0010066175843978823
0,0.1889877654109225,0.2,0.1,0.005554595057887794
0,0.46401528628322364,0.6,0.5,0.3815614973357344
0,0.5496969525545511,0.6,0.4,0.7521743040207657
0,0.36320287601887824,0.2,0.4,0.13568527131544317
0,0.26426253949887063,0.2,0.4,0.06079459513886699
0,0.3140475077258841,0.2,0.4,0.07921418419363359
0,0.642299318542877,0.8,0.9,0.8414240669410751
0,0.2586738792212352,0.6,0.2,0.04350747888377157
0,0.26386781696712003,0.4,0.5,0.12249182937513238
0,0.5972268272335916,0.2,0.4,0.7088802268835115
0,0.315969891353242,0.0,0.2,0.0592989956856681
0,0.40460598313154145,0.8,0.3,0.6381240231158554
0,0.28578085705982176,0.0,0.2,0.11018310926474098
1,0.5838726463945432,0.6,0.9,0.9610005085184985
1,0.4691496354827133,0.4,1.0,0.5353810457919902
1,0.6536690991092272,0.8,1.0,0.8278678796656028
0,0.5090251451054494,0.8,0.0,0.43456058239213635
1,0.6532821766756731,0.8,0.6,0.9899464339784801
0,0.6600044469427621,0.6,0.1,0.7365844316911848
0,0.5221701656946802,0.8,0.0,0.8589454437899611
0,0.46220439187514906,0.4,0.2,0.7084346013301532
0,0.22792426963526227,0.0,0.0,0.009843513725547677
0,0.44913006775428493,0.4,0.1,0.0073429889845578
0,0.7033104716238401,0.4,0.4,0.1376225544842211
0,0.3292255796036011,0.0,0.1,0.007725929227995127
0,0.2909319272975514,0.4,0.2,0.1752014540261907
1,0.5402726052478644,0.6,0.3,0.14435024704447882
0,0.3440903973341226,0.0,0.3,0.07913504259867028
1,0.3676791347732181,0.4,0.4,0.2543189462534357
0,0.6929938767083482,0.6,0.9,0.08194300572767718
0,0.28155228021402257,0.2,0.3,0.08930052045245723
1,0.7834365319026725,1.0,0.7,0.9996774821973039
1,0.33584274037850403,0.6,0.4,0.05793459274146501
0,0.5757510388545504,0.8,0.6,0.3151008216309592
0,0.3988081016070229,0.2,0.0,0.3174434628796754
1,0.4652336630143762,0.4,0.6,0.49358100332662236
1,0.522249988510473,1.0,1.0,0.7264871485947699
1,0.6826204228747612,0.8,0.9,0.6699367831998162
1,0.4288954962847213,0.6,0.9,0.17383606861398543
1,0.5542270345572956,1.0,1.0,0.7024041855656238
1,0.6130982160779094,1.0,0.8,0.7085573216539525
1,0.36131041024486715,0.2,0.8,0.2232371914895135
1,0.6231305578473699,0.4,1.0,0.8992619370808631
1,0.5766547692105836,0.8,0.9,0.9788896535190381
1,0.41022968155112094,0.4,0.7,0.7834960488618558
1,0.3224301616330887,0.4,0.1,0.08231486169415925
1,0.22926969973287198,0.2,0.2,0.00949891237085893
1,0.16218097717237182,0.2,0.3,0.009958715520077124
1,0.4968842498293988,0.4,0.6,0.609133682264046
1,0.3879004579928585,0.4,0.5,0.5734834376850318
1,0.39911410182476953,0.2,0.3,0.0026317957580969777
1,0.41668126486220264,0.2,0.7,0.6702940376380235
1,0.6577078781248488,0.8,0.4,0.9066909882461411
1,0.6430854502490388,1.0,0.3,0.8040603508729799
1,0.6912032982338168,0.8,0.7,0.8232152089979684
1,0.4241273050531285,0.4,0.4,0.3912706644660986
1,0.6280173322130473,1.0,0.7,0.3675127259810579
1,0.6557744488952615,0.8,0.5,0.7831712084006013
1,0.7262221833708934,0.8,0.4,0.9406274155860372
1,0.7943013693623143,0.6,0.6,0.13271572661605155
1,0.6453770470084538,0.8,1.0,0.8804934383451098
1,0.5958256429533171,0.8,0.6,0.8719770878132355
1,0.5358410961765118,0.8,1.0,0.7055970315045245
0,0.3501888813856629,0.2,0.8,0.1578068284099965
1,0.7251821044781743,0.4,0.6,0.20949083529438997
1,0.7516506682518173,0.6,0.6,0.9896278330894538
0,0.6524879412745876,0.6,0.7,0.7884267247545265
0,0.6380300861862588,0.2,0.6,0.7823266730602838
1,0.6975958166812745,1.0,0.5,0.9616748312209045
1,0.5281587798262506,0.6,0.6,0.751998127835206
1,0.6234577417096028,1.0,0.5,0.637223075729716
1,0.34669872433166976,0.6,0.4,0.3481691186488039
1,0.5730064333388747,0.8,0.7,0.008733121840474615
1,0.6325940697794276,0.2,0.2,0.3500938782823713
0,0.5684493217779252,0.8,0.5,0.7906318528053885
1,0.5864555479510547,0.6,0.3,0.4644007365318436
0,0.6329747628063652,0.6,0.6,0.44886499690049597
0,0.7724515194099377,1.0,0.7,0.8667480172309324
0,0.5409144180695491,1.0,0.2,0.38385894920650226
0,0.3363244705591646,0.4,0.3,0.0668667602117447
1,0.6350622010753968,1.0,0.7,0.9254393466960259
1,0.7522612479126486,1.0,0.9,0.9963263690982355
1,0.511798233673859,1.0,0.9,0.9745177061062675
