Severity,LR,KNN,RF,NB
0,0.8052653463238874,1.0,0.6,0.9890962744107092
0,0.4083278814330326,0.2,0.0,0.0176777839597684
1,0.4474813323720439,0.6,0.9,0.48987637847665794
0,0.21399654850367358,0.4,0.4,0.38971145408809804
0,0.4440511063504111,0.6,0.0,0.8115774553336973
0,0.4209765919276688,0.4,0.0,0.000407728621974813
1,0.5741756232047922,0.8,0.9,0.9382412958956254
0,0.3093119289498612,0.0,0.1,0.014446405179589466
0,0.1501424539681273,0.0,0.1,4.109652509998821e-06
1,0.3881675551604771,0.6,1.0,0.2663283683919015
0,0.39920523181993883,0.4,0.0,0.014575973927546327
0,0.4778117217422052,0.6,0.4,0.6596163563064934
0,0.25850473982428246,0.2,0.0,0.004694027975824741
0,0.1664858134983615,0.4,0.2,0.0006666032027584208
1,0.6293044270383701,0.8,0.6,0.3135273284444502
1,0.6271217930850227,0.6,0.1,0.7422408378218847
1,0.663196790436581,0.8,0.6,0.9995534182653849
1,0.6723395605522731,0.8,0.5,0.2072735851518881
0,0.18455264080485279,0.0,0.3,0.00030988039647688773
1,0.5335023490232714,0.8,0.6,0.8692954748555176
0,0.3586490973521768,0.2,0.8,9.193290637232408e-15
1,0.7927448585442065,0.6,0.5,0.9608193801848258
1,0.6377299275142386,1.0,0.7,0.9968785240033656
1,0.5761973986058365,0.6,0.7,8.915074249235674e-05
1,0.6742502517047531,0.6,0.8,0.9976265061444549
1,0.6929731468566577,0.8,1.0,0.9998799098314355
1,0.729100198626885,0.6,0.9,0.9930685413829937
1,0.7176926417575552,0.8,0.9,0.9836129149580306
1,0.7155782683852662,0.8,0.8,0.9935375884817853
1,0.7311483352413063,0.6,0.5,1.0
0,0.3587976617267295,0.2,0.5,0.36942165441011304
1,0.75729180246191,0.6,0.7,1.0
0,0.6786817720490105,0.4,0.6,0.9652147426387581
0,0.17742706200021896,0.0,0.0,1.3768187935822807e-08
0,0.12609343308926962,0.2,0.0,4.8261239163855716e-05
0,0.2622877619718321,0.2,0.0,0.00431652585067224
0,0.5477451478454062,0.4,0.6,4.15055076275416e-05
0,0.3015955814244248,0.4,0.4,7.488730195156704e-05
0,0.8102012997909097,1.0,1.0,0.9999985250262176
1,0.9140532068816313,0.8,0.7,0.9999997787468238
0,0.725397740675355,0.6,0.5,0.9999467509999183
0,0.428406884950058,0.4,0.4,0.013587480941169783
1,0.3705478151195704,0.4,0.2,0.029794590077988813
0,0.4136376240176422,0.2,0.3,3.197788321425409e-06
0,0.35089980870949505,0.8,0.3,0.3270609646761364
1,0.7336868225611568,0.8,1.0,0.9991785029381244
0,0.1884968329272794,0.2,0.5,0.008764934438771828
0,0.150055847258943,0.2,0.4,1.1991088876726571e-13
0,0.3874940334095591,0.4,0.0,0.1280230597480613
0,0.24766661738379178,0.2,0.0,1.0270757695542655e-05
0,0.49047301093031737,0.2,0.1,0.002232682061244212
0,0.4157796503616705,0.2,0.5,1.0753156118294792e-05
0,0.67634919907932,0.6,0.3,0.2567718401043537
0,0.17641056960276824,0.2,0.3,2.785802520121676e-05
1,0.6237114513015358,0.2,0.6,0.04094159174309323
0,0.6042772064627864,0.8,0.4,0.4856598701463847
0,0.12966329543096408,0.0,0.1,5.9226851301155795e-08
0,0.18153331383868615,0.2,0.6,1.256856566225851e-05
0,0.2833993565925604,0.0,0.5,0.041753431033399506
0,0.5926954744752954,0.4,0.5,0.9557112874674334
0,0.4111258947950342,0.4,0.5,0.07434640168736548
0,0.3019082171945467,0.4,0.4,0.10892413308718854
0,0.46848159858541727,0.2,0.3,0.4133121973410449
0,0.5778848887238724,0.4,0.4,0.38450101465919184
0,0.21902838581526085,0.2,0.4,0.010410753209897143
0,0.25808605512678134,0.6,0.5,0.03672084909652405
0,0.7500288001386815,0.4,0.7,0.97424624235668
0,0.30159033557503984,0.0,0.3,0.0009913429552826938
0,0.2699377088460602,0.2,0.2,5.2918794831007825e-05
0,0.18232251539960398,0.0,0.0,0.00020252313503637507
1,0.48807882234123307,0.6,0.9,0.7676377316847486
1,0.6455164942086867,0.6,0.9,0.027078149997918292
1,0.7904790153875885,0.8,1.0,0.9315579219504391
0,0.46127490954659306,0.8,0.0,0.11580650790140791
1,0.7999146343679968,1.0,0.8,0.9996634728451792
0,0.597730346321941,0.6,0.0,0.010637305581003684
0,0.45350458612567457,0.6,0.0,0.19385105833963198
0,0.4419147661584917,0.6,0.4,0.07373879850260961
0,0.28727987680099565,0.0,0.0,0.3357395051566516
0,0.38179287417041136,0.0,0.2,4.2169199796641805e-05
0,0.4261818331340024,0.0,0.7,0.001523385881054048
0,0.24509307094462643,0.0,0.1,1.6034085968941488e-06
0,0.348272180779241,0.0,0.2,0.2931682790068672
1,0.6588107668016159,0.4,0.3,0.9813697188970518
0,0.1978845064849847,0.0,0.4,5.830895268950943e-05
1,0.3509288662325779,0.4,0.6,0.0026521855027079708
0,0.9346095572705077,0.8,0.4,0.861528935943445
0,0.36947655097710014,0.4,0.5,0.32261368770796556
1,0.8426741214073186,0.8,0.8,0.9999995354665123
1,0.25503807269422846,0.2,0.3,4.35360696369997e-05
0,0.6354943209801869,0.8,0.7,0.3033331420611974
0,0.36787969486437017,0.2,0.2,0.01147105997763844
1,0.46097996257340335,0.0,0.8,0.10561050261373825
1,0.4798933925529269,0.6,1.0,0.5176066926849119
1,0.6427793385229874,0.6,0.9,0.363236498871635
1,0.3589283024550528,0.2,0.7,0.0017046123170162532
1,0.6346525263215215,0.6,0.9,0.4579436803217467
1,0.5291638066817699,0.8,1.0,0.16140010659887769
1,0.5532417737000295,0.4,0.8,0.7157016105634117
1,0.4952433560350283,0.6,0.9,0.005368266808091008
1,0.6076901496492046,1.0,1.0,0.869869143008338
1,0.5698779433434707,0.6,0.9,0.8853412880568904
1,0.23872645673281992,0.0,0.5,1.0
1,0.507624659655462,0.4,0.4,0.022083587063837295
1,0.2374638953823827,0.0,0.4,0.0033269978300329676
1,0.6442160935963921,0.8,0.9,0.9130874978300635
1,0.42298106527656487,0.2,0.5,1.0
1,0.22045655134844688,0.2,0.1,2.2448271750859964e-06
1,0.30255832415272416,0.6,0.6,0.726050976052521
